method,context,tier,n_models,target_n_models,included_models,missing_models,is_final,mean_tokens_per_trajectory,sem_tokens_per_trajectory,minimum_tokens_per_trajectory_coverage,mean_wall_time_seconds_per_trajectory,sem_wall_time_seconds_per_trajectory,minimum_wall_time_seconds_per_trajectory_coverage,mean_cost_chf_per_trajectory,sem_cost_chf_per_trajectory,minimum_cost_chf_per_trajectory_coverage,n_paid_models,target_n_paid_models,included_paid_models,missing_paid_models,paid_cost_is_final
llm,100,1,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,11146.516666666668,494.7735168718894,1.0,6.021255700731029,2.099564532666649,1.0,0.0065363200800000005,0.0024496858436773524,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,500,1,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,54090.96333333334,2243.3703428334,1.0,8.211734389215708,2.9332176746807757,1.0,0.024912746773333338,0.013785005584547396,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,100,1,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,22812.185,2664.353060180214,1.0,16.375768464077264,4.133474082387434,1.0,0.007094392293333332,0.0021364580246951465,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,500,1,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,120515.94,13402.457829144621,1.0,19.80959424325265,5.44069553470554,1.0,0.02109166776,0.00585692651710348,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,1000,1,2,3,deepseek-v4-flash;gemini-3.7-flash,gpt-5-mini,False,236631.99,41623.41000000001,1.0,21.36414165381051,7.12295886126987,1.0,0.0640947984,,1.0,1,2,gemini-3.7-flash,gpt-5-mini,False
rlm,100,1,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,25823.93,8878.091724886604,1.0,23.90458996969741,4.80477533890444,1.0,0.014010833866666668,0.00855638149463246,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
rlm,500,1,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,26628.06,8862.274423540119,1.0,24.62086433598073,4.136537742507094,1.0,0.018115024693333336,0.012563899652944308,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
rlm,full,1,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,22612.89,6618.964459472997,1.0,28.213810903029227,4.1263138586558465,1.0,0.01521770416,0.009540914803388248,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,100,2,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,14266.133333333333,1674.3623295783716,1.0,17.729381027851876,2.368027677806858,1.0,0.022770697293333333,0.00938629687200377,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,500,2,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,57977.605,3458.9117345313016,1.0,24.17158281988154,7.288314569364153,1.0,0.04248403629333333,0.01851066332297482,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,100,2,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,26635.5625,6047.900464311803,1.0,28.101835814942607,8.105400391071274,1.0,0.014056050973333331,0.005419130595224525,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,500,2,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,131526.0725,20502.64918059183,1.0,34.52065107132774,7.3278536354186015,1.0,0.037418629040000005,0.015584890164202052,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,1000,2,2,3,deepseek-v4-flash;gemini-3.7-flash,gpt-5-mini,False,293873.68388888886,99155.84388888886,1.0,56.71032920807028,12.889062917739597,1.0,0.07531368840000001,,1.0,1,2,gemini-3.7-flash,gpt-5-mini,False
