method,context,tier,n_models,target_n_models,included_models,missing_models,is_final,mean_tokens_per_trajectory,sem_tokens_per_trajectory,minimum_tokens_per_trajectory_coverage,mean_wall_time_seconds_per_trajectory,sem_wall_time_seconds_per_trajectory,minimum_wall_time_seconds_per_trajectory_coverage,mean_cost_chf_per_trajectory,sem_cost_chf_per_trajectory,minimum_cost_chf_per_trajectory_coverage,n_paid_models,target_n_paid_models,included_paid_models,missing_paid_models,paid_cost_is_final
llm,100,1,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,11146.516666666668,494.7735168718894,1.0,6.021255700731029,2.099564532666649,1.0,0.0065363200800000005,0.0024496858436773524,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,500,1,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,54090.96333333334,2243.3703428334,1.0,8.211734389215708,2.9332176746807757,1.0,0.024912746773333338,0.013785005584547396,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,100,1,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,27021.808,4688.3037593253275,1.0,18.434920995250344,3.8067668618524153,1.0,0.007094392293333332,0.0021364580246951465,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,500,1,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,124043.268,10964.377243454546,1.0,19.67761538719386,4.216410696227951,1.0,0.02109166776,0.00585692651710348,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,1000,1,4,4,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini,,True,243532.855,20808.260891694557,1.0,25.945237186366285,9.51421456263682,1.0,0.0400255292,0.024069269199999997,1.0,2,2,gemini-3.7-flash;gpt-5-mini,,True
rlm,100,1,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,28121.296000000002,7250.530886994137,1.0,30.31098520782217,7.409009352232876,1.0,0.014010833866666668,0.00855638149463246,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
rlm,500,1,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,32858.564,9270.551486772294,1.0,36.636194097453725,12.435220785094655,1.0,0.018115024693333336,0.012563899652944308,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
rlm,1000,1,2,3,deepseek-v4-flash;gemini-3.7-flash,gpt-5-mini,False,36933.722499999996,21651.1975,1.0,65.91884803629947,52.81209678214509,1.0,0.010617375000000002,,1.0,1,2,gemini-3.7-flash,gpt-5-mini,False
rlm,full,1,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,31486.388,10248.18916030847,1.0,39.774048016704384,11.99395521754495,1.0,0.01521770416,0.009540914803388248,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,100,2,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,14266.133333333333,1674.3623295783716,1.0,17.729381027851876,2.368027677806858,1.0,0.022770697293333333,0.00938629687200377,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,500,2,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,57977.605,3458.9117345313016,1.0,24.17158281988154,7.288314569364153,1.0,0.04248403629333333,0.01851066332297482,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,100,2,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,32776.06,7723.4687520077405,1.0,31.445393366705627,7.113219130724045,1.0,0.014056050973333331,0.005419130595224525,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,500,2,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,148828.93600000002,23486.256818681984,1.0,39.1948525457643,7.353000936005343,1.0,0.037418629040000005,0.015584890164202052,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
